Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
OPPO Reno 13F,4.2,"₹32,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5800 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card (Hybrid)
Honor Magic 8,4.3,"₹54,999","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 90W Fast Charging,"6.58 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v16
Motorola Moto E15,4.05,"₹10,990","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G81 Ultra, Octa Core, 2 GHz Processor","2 GB RAM, 64 GB inbuilt",5200 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1604 px, 90 Hz Display with Punch Hole",32 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
Honor GT,4.7,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5300 mAh Battery with 100W Fast Charging,"6.7 inches, 1200 x 2664 px, 144 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 16 MP Front Camera,Android v15
Philips S6310 Essence 20,4.35,"₹7,999","Dual Sim, 4G, Wi-Fi","Unisoc T606, Octa Core, 1.6 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Nubia Flip 2 5G,4.75,"₹59,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Dimensity 7300X, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt",4325 mAh Battery with 33W Fast Charging,"6.9 inches, 1188 x 2790 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 2 MP Dual Rear & 32 MP Front Camera
Honor 300 Ultra,4.4,"₹48,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 512 GB inbuilt",5300 mAh Battery with 100W Fast Charging,"6.78 inches, 1224 x 2700 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 50 MP + 2 MP Dual Front Camera,Android v15
Poco F7 Ultra,4.6,"₹54,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",5300 mAh Battery with 120W Fast Charging,"6.67 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 32 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
Vivo X200S,4.15,"₹54,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",6200 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
Honor X5b Plus,4.1,"₹8,990","Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster","Helio G36, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5200 mAh Battery with 10W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",50 MP Dual Rear & 5 MP Front Camera,Memory Card Supported
