Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Realme C65 4G,4.45,"₹8,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G96, Octa Core Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + Depth Sensor Dual Rear & 8 MP Front Camera,Memory Card Supported
Vivo Y100 4G,4.35,"₹19,990","Dual Sim, 4G, VoLTE, Wi-Fi","Snapdragon 685, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",4800 mAh Battery with 80W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Xiaomi Civi 4 Pro,4.1,"₹34,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",4700 mAh Battery with 67W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,Android v14
Honor Magic 6 Ultimate,4.3,"₹79,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 512 GB inbuilt",5600 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",180 MP + 50 MP + 50 MP Triple Rear & 50 MP Dual Front Camera,Android v14
OnePlus Nord N30 SE,4.65,"₹18,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 6020, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.72 inches, 1080 x 2400 px Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v13
Xiaomi 14T Pro 5G,4.4,"₹74,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 120W Fast Charging,"6.67 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
Motorola Moto X50 Ultra,4.65,"₹46,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 512 GB inbuilt",4500 mAh Battery with 125W Fast Charging,"6.7 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v14
Huawei Nova 13 Pro,4.45,"₹43,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",Octa Core Processor,256 GB inbuilt,5000 mAh Battery with 100W Fast Charging,"6.76 inches, 1224 x 2776 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 8 MP Triple Rear & 60 MP + 8 MP Dual Front Camera,HarmonyOS v4.2
Huawei Pocket 2,4.45,"₹92,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi",Octa Core Processor,"12 GB RAM, 256 GB inbuilt",4520 mAh Battery with 66W Fast Charging,"6.94 inches, 1136 x 2690 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP Quad Rear & 10.7 MP Front Camera
ZTE Libero Flip,4.55,"₹35,990","Single Sim, 5G, VoLTE, NFC, Wi-Fi","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",4310 mAh Battery with 33W Fast Charging,"6.9 inches, 1188 x 2790 px, 120 Hz Display with Punch Hole",Foldable Display,50 MP + 2 MP Dual Rear & 16 MP Front Camera
Honor X9B,4.1,"₹25,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5800 mAh Battery with 35W Fast Charging,"6.78 inches, 1220 x 2652 px, 120 Hz Display with Punch Hole",108 MP + 5 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13
Tecno Spark 20,4.75,"₹11,999","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",50 MP Dual Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB"
Huawei Mate 70 Pro,4.05,"₹74,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster",Octa Core Processor,"12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 100W Fast Charging,"6.9 inches, 1316 x 2832 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 40 MP Triple Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 256 GB"
Honor Magic V2 RSR Porsche Design,4.75,"₹1,87,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","16 GB RAM, 1 TB inbuilt",5000 mAh Battery with 66W Fast Charging,"7.92 inches, 2156 x 2344 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 50 MP + 20 MP Triple Rear & 16 MP Front Camera
Nubia Flip 5G,4.25,"₹41,900","Single Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",4310 mAh Battery with 33W Fast Charging,"6.9 inches, 1188 x 2790 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 2 MP Dual Rear & 16 MP Front Camera
Meizu 21 Pro,4.5,"₹57,999","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5050 mAh Battery with 80W Fast Charging,"6.79 inches, 1368 x 3192 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 10 MP Triple Rear & 32 MP Front Camera,Android v14
Sony Xperia 1 VI,4.4,"₹1,36,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.5 inches, 1080 x 2340 px, 120 Hz Display",48 MP + 12 MP + 12 MP Triple Rear & 12 MP Front Camera,Memory Card (Hybrid)
Poco C75,4.45,"₹8,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G81 Ultra, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP + Auxiliary lens Dual Rear & 13 MP Front Camera,"Memory Card Supported, upto 1 TB"
Xiaomi Redmi Note 13 Pro 4G,4.7,"₹23,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi, IR Blaster","Helio G99 Ultra, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card (Hybrid)
Honor Magic 6 Lite,4.15,"₹34,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 6 Gen 1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5300 mAh Battery with 35W Fast Charging,"6.78 inches, 1200 x 2652 px, 120 Hz Display with Punch Hole",108 MP + 5 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13
Realme C67 4G,4.4,"₹11,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Snapdragon 685, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.72 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
Honor X7b 5G,4.7,"₹19,990","Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6020, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 35W Fast Charging,"6.8 inches, 1080 x 2412 px, 90 Hz Display with Punch Hole",108 MP + 2 MP + 2 MP Triple Rear & 8 MP Front Camera,Memory Card Supported
Vivo Y12 2023,4.7,"₹11,990","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery,"6.56 inches, 720 x 1612 px Display with Water Drop Notch",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Memory Card Supported
Xiaomi Redmi K70E,4.05,"₹23,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8300 Ultra, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v14
Vivo Y33t 4G 2023,4.4,"₹8,499","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px Display with Water Drop Notch",13 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
Nubia Z60,4.1,"₹49,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.78 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",64 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v14
Infinix Zero 30 4G,4.55,"₹15,999","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 2 MP + 2 MP Triple Rear & 50 MP Front Camera,Android v13
Honor V Purse,4.4,"₹67,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 778G, Octa Core, 2.4 GHz Processor","16 GB RAM, 256 GB inbuilt",4500 mAh Battery with 35W Fast Charging,"7.71 inches, 2016 x 2348 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 12 MP Dual Rear & 8 MP Front Camera
Realme V50,4.7,"₹13,999","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 2 TB"
Asus ROG Phone 8 Pro,4.45,"₹94,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 512 GB inbuilt",5500 mAh Battery with 65W Fast Charging,"6.78 inches, 1080 x 2400 px, 165 Hz Display",50 MP + 32 MP + 13 MP Triple Rear & 32 MP Front Camera,Android v14
Realme GT 5,4.65,"₹33,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",5240 mAh Battery with 150W Fast Charging,"6.74 inches, 1240 x 2772 px, 144 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Not Supported
Honor Play 40C,4.6,"₹9,990","Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 480+, Octa Core, 2.2 GHz Processor","6 GB RAM, 128 GB inbuilt",5200 mAh Battery,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP Rear & 5 MP Front Camera,Memory Card (Hybrid)
Huawei Pura 70 Pro,4.5,"₹74,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Kirin 9010, Octa Core Processor","12 GB RAM, 256 GB inbuilt",5050 mAh Battery with 100W Fast Charging,"6.8 inches, 1260 x 2844 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 12.5 MP Triple Rear & 13 MP Front Camera,HarmonyOS v4.2
Xiaomi Redmi Note 12R,4.6,"₹11,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Memory Card (Hybrid)
Huawei Nova Flip,4.55,"₹61,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Kirin 8000, Octa Core Processor",256 GB inbuilt,4400 mAh Battery with 66W Fast Charging,"6.94 inches, 1136 x 2690 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 8 MP Dual Rear & 32 MP Front Camera
Nokia G310 5G,4.6,"₹16,999","Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 480+, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 20W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP + 2 MP Triple Rear & 8 MP Front Camera,"Memory Card Supported, upto 1000 GB"
Vivo Y36 5G,4.2,"₹20,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 6020, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 44W Fast Charging,"6.64 inches, 1080 x 2388 px, 90 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB"
Xiaomi Redmi K70,4.35,"₹29,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 120W Fast Charging,"6.67 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v14
OnePlus Ace 2 Pro,4.45,"₹34,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 150W Fast Charging,"6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v13
Oppo K11x 5G,4.2,"₹17,490","Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v13
Vivo S18 Pro,4.65,"₹36,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Dimensity 9200 Plus, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 50 MP Front Camera,Android v14
